---,Type,Montage,PlayRatio,Section,MinDistance,MaxDistance,Extent,FixedCamera
1,"Climb","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/Run_Climb_Montage.Run_Climb_Montage'","2.000000","None","30.000000","150.000000","580.000000","True"
2,"Slide","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/SingleSlider_Montage.SingleSlider_Montage'","1.250000","None","150.000000","350.000000","30.000000","True"
3,"Short","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/Short_HandSpring_To_Roll_ShortlVault_Montage.Short_HandSpring_To_Roll_ShortlVault_Montage'","1.250000","None","400.000000","500.000000","80.000000","True"
4,"Short","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/Short_Flip_And_Roll_Montage.Short_Flip_And_Roll_Montage'","1.250000","None","200.000000","350.000000","80.000000","True"
5,"Short","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/Short_Reverse_Vault_ShortVault_Montage.Short_Reverse_Vault_ShortVault_Montage'","1.250000","None","150.000000","200.000000","80.000000","True"
6,"Short","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/Short_Split_Vault_ShortVault_Montage.Short_Split_Vault_ShortVault_Montage'","1.250000","None","80.000000","150.000000","80.000000","True"
7,"Normal","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/Normal_HandSpring_To_Roll_NormalVault_Montage.Normal_HandSpring_To_Roll_NormalVault_Montage'","1.250000","None","380.000000","600.000000","340.000000","True"
8,"Normal","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/Normal_Roll_NormalVault_Montage.Normal_Roll_NormalVault_Montage'","1.250000","None","250.000000","380.000000","340.000000","True"
9,"Normal","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/Normal_Railflip_Vault_NormalVault_Montage.Normal_Railflip_Vault_NormalVault_Montage'","1.250000","None","150.000000","250.000000","340.000000","True"
10,"Normal","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/Normal_Spin_Bicycle_NormalVault_Montage.Normal_Spin_Bicycle_NormalVault_Montage'","1.250000","None","80.000000","150.000000","340.000000","True"
11,"Wall","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/Wall_HandSpring_To_Roll_ShortWalllVault_Montage.Wall_HandSpring_To_Roll_ShortWalllVault_Montage'","1.250000","None","350.000000","390.000000","40.000000","True"
12,"Wall","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/Wall_Fold_Flip_ShortWallVault_Montage.Wall_Fold_Flip_ShortWallVault_Montage'","1.000000","None","200.000000","250.000000","40.000000","True"
13,"Wall","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/Wall_Jump_Wheel_ShortWall_Montage.Wall_Jump_Wheel_ShortWall_Montage'","1.000000","Start","150.000000","200.000000","40.000000","True"
14,"Wall","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/Wall_Double_Trick_Montage.Wall_Double_Trick_Montage'","1.000000","Start","50.000000","150.000000","40.000000","True"
15,"Fall","/Script/Engine.AnimMontage'/Game/Character/Player/Montages/Parkour/Falling_Roll_Montage.Falling_Roll_Montage'","2.000000","None","700.000000","2000.000000","2000.000000","False"
